ID,Datetime,Tweet,Categories,Ratting
1,Sun Mar 15 14:40:15 +0000 2015,It’s not hard to get a little cardio in at home! @KristinMcGee has an awesome plyometric move you can do anywhere: http://ow.ly/KiDDJ,Other,2
2,Sun Mar 15 12:25:17 +0000 2015,Beauty really does come from within. Discover wellness tips over on our sister site @mimichatter: http://ow.ly/Kjrio,Personal Care,3
3,Sun Mar 15 09:35:05 +0000 2015,Busted! 15 myths and facts you really need to know about cellulite: http://ow.ly/KiIY0,Other,2
4,Sun Mar 15 07:40:25 +0000 2015,Get rid of a puffy tummy! See the 13 best (and WORST) foods to beat bloat and gas: http://ow.ly/KiJeY,Nutrition,2
5,Sun Mar 15 05:35:06 +0000 2015,Pillow talk: Find the perfect pillow for your p.m. pose with our handy guide: http://ow.ly/KiICW,Other,2
6,Sun Mar 15 03:20:18 +0000 2015,Not getting enough sleep night after night can really take a toll on your health. See 11 signs you're sleep deprived: http://ow.ly/KiGp3,Sleep,2
7,Sun Mar 15 02:40:17 +0000 2015,Bring some life back to those strands! See 10 ways to get healthier hair STAT: http://ow.ly/KiDNu,Personal Care,3
8,Sun Mar 15 00:25:09 +0000 2015,Tone up and lose weight at the same time with these 5 strength training moves: http://ow.ly/KfQ7z,Exercise,2
9,Sat Mar 14 22:40:21 +0000 2015,Dining out tonight? Find the healthiest food options on the menu with these tricks: http://ow.ly/Kg8Fr,Nutrition,2
10,Sat Mar 14 20:55:18 +0000 2015,7 moves for better balance: http://ow.ly/Kiex9,Other,1
11,Sat Mar 14 18:45:12 +0000 2015,How much do you really know about inflammation? Here are 13 ways it can affect your health: http://ow.ly/KitKZ,Other,3
12,Sat Mar 14 16:31:05 +0000 2015,How to eat clean without driving yourself totally crazy: http://ow.ly/KcQCe,Nutrition,1
13,Sat Mar 14 14:40:29 +0000 2015,Sleeveless season will be here soon. Be prepared and try these 11 moves for a sleek upper body: http://ow.ly/KfNFL,Other,2
14,Sat Mar 14 12:25:09 +0000 2015,You’ll slash calories easy if you follow these simple food swaps: http://ow.ly/KiGEU,Nutrition,2
15,Sat Mar 14 09:35:08 +0000 2015,Try these fat-burning breakfast ideas to kick up your body's metabolism all day long: http://ow.ly/KiH14,Other,2
16,Sat Mar 14 07:40:11 +0000 2015,7 annoying side effects of taking birth control (and how to solve them): http://ow.ly/KiGxc,Other,2
17,Sat Mar 14 05:35:03 +0000 2015,Feeling under the weather? See what 10 home remedies you can find in your kitchen --&gt; http://ow.ly/KiDdR,Nutrition,2
18,Sat Mar 14 04:30:30 +0000 2015,"If you’re packing on the pounds and can’t find the source, you might want to check your pillow. http://ow.ly/KcRpI",Other,2
19,Sat Mar 14 03:45:25 +0000 2015,7 Healthier Shamrock Shakes You Can Make at Home http://wp.me/p2yZYB-vQz http://pbs.twimg.com/media/CAB1e-SWsAEuM8v.jpg,Other,2
20,Sat Mar 14 03:15:14 +0000 2015,Why Women With Acne Should Try Charcoal For Clearer Skin http://wp.me/p2yZYB-vTP  via @POPSUGARBeauty http://pbs.twimg.com/media/CABuk1KU0AErILl.jpg,Personal Care,2
21,Sat Mar 14 02:40:12 +0000 2015,"Sorry guys, but women have the advantage with these 10 awesome health benefits: http://ow.ly/KfD7v",Other,2
22,Sat Mar 14 02:15:14 +0000 2015,50 Ways to Cover Your Gray http://wp.me/p2yZYB-vOh http://pbs.twimg.com/media/CABg1vDU0AAR32k.jpg,Other,2
23,Sat Mar 14 01:45:19 +0000 2015,Celebrity Chef’s ‘Paleo for Babies’ Book On Hold Over Infant-Death Fears http://wp.me/p2yZYB-vWf via @TIME http://ow.ly/i/90iIX,Nutrition,2
24,Sat Mar 14 01:15:21 +0000 2015,We Tried It: Jennifer Love Hewitt’s Buti Yoga Workout http://wp.me/p2yZYB-vTu  via @greatideas http://pbs.twimg.com/media/CABTIq6WsAATSTP.jpg,"Nutrition, Exercise",3
25,Sat Mar 14 00:45:26 +0000 2015,Chapped Lips? Try One of These 6 Cult Favorite Lip Balms  http://ow.ly/KiUzS http://pbs.twimg.com/media/CABMSY1UsAAdLmV.jpg,Other,2
26,Sat Mar 14 00:25:08 +0000 2015,Say goodbye to your belly flab! These 20 fast fat burners make torching calories easy: http://ow.ly/KfYaZ,Nutrition,2
27,Sat Mar 14 00:03:01 +0000 2015,Enjoy an aah-mazing weekend with HEALTH editors at @CanyonRanch. Exclusive offer with code HealthTotalWellness http://ow.ly/FqL0d,Other,2
28,Fri Mar 13 22:40:22 +0000 2015,Put down the saltshaker. Try one of these 16 natural flavor enhancers instead to slash your sodium intake: http://ow.ly/KfOMU,Other,2
29,Fri Mar 13 20:55:20 +0000 2015,Forget gym equipment to tone your butt. This hip bridge exercise is all you need: http://ow.ly/KfBLQ,Exercise,2
30,Fri Mar 13 18:45:27 +0000 2015,Being sick is no fun. Know the best (and worst) foods for your symptoms can help bring relief: http://ow.ly/KfUX0,"Nutrition, Diseases and Treatments",3
31,Fri Mar 13 16:40:27 +0000 2015,The amazing @AnnaKFaris from @MomCBS is our April cover star! See our full interview here: http://ow.ly/KiauV http://pbs.twimg.com/media/B__dSQHWQAAydZq.jpg,Other,2
32,Fri Mar 13 15:16:34 +0000 2015,Celebrity Chef’s ‘Paleo for Babies’ Book On Hold Over Infant-Death Fears http://wp.me/p2yZYB-vWf via @TIME http://pbs.twimg.com/media/B__KFZqUMAAu6cW.jpg,Nutrition,2
33,Fri Mar 13 14:40:28 +0000 2015,Take the stress out of meal planning with our healthy eating plan from @eMeals! Sign up here: http://ow.ly/KdlOT,"Nutrition, Mental Health",3
